Modelo,RMSE
01_RLS_lstat,5.76
02_RLS_rm,5.56
03_RLM_12vars,4.39
04_RLM_10vars,4.38
05_RLM_2vars,4.63
06_RLMI_2vars,4.18
07_RLMI_3vars,3.99
08_RLMI_4vars,3.46
